"TIME","GEO","S_ADJ","AGE","UNIT","SEX","Value","Flag and Footnotes"
"1983M01","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.1",""
"1983M01","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","12.9",""
"1983M01","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.1",""
"1983M01","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.9","p"
"1983M01","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.3",""
"1983M01","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.5",""
"1983M01","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.1",""
"1983M01","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.4",""
"1983M01","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.7",""
"1983M01","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M01","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.4",""
"1983M01","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.7",""
"1983M02","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M02","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M02","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M02","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.2",""
"1983M02","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M02","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M02","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","13.2",""
"1983M02","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M02","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M02","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.7",""
"1983M02","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M02","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.1","p"
