"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","TOT","PC_LF","Q","1966-Q3",1.8,
"AUS","UNEMP","TOT","PC_LF","Q","1966-Q4",1.7,
"AUS","UNEMP","TOT","PC_LF","Q","1967-Q1",1.8,
"AUS","UNEMP","TOT","PC_LF","Q","1967-Q2",2,
"AUS","UNEMP","TOT","PC_LF","Q","1967-Q3",1.9,
"AUS","UNEMP","TOT","PC_LF","Q","1967-Q4",1.8,
"AUS","UNEMP","TOT","PC_LF","Q","1968-Q1",1.9,
"AUS","UNEMP","TOT","PC_LF","Q","1968-Q2",1.9,
"AUS","UNEMP","TOT","PC_LF","Q","1968-Q3",1.8,
"AUS","UNEMP","TOT","PC_LF","Q","1968-Q4",1.7,
"AUS","UNEMP","TOT","PC_LF","Q","1969-Q1",1.8,
"AUS","UNEMP","TOT","PC_LF","Q","1969-Q2",1.8,
"AUS","UNEMP","TOT","PC_LF","Q","1969-Q3",1.7,
"AUS","UNEMP","TOT","PC_LF","Q","1969-Q4",1.9,
"AUS","UNEMP","TOT","PC_LF","Q","1970-Q1",1.6,
"AUS","UNEMP","TOT","PC_LF","Q","1970-Q2",1.7,
"AUS","UNEMP","TOT","PC_LF","Q","1970-Q3",1.7,
"AUS","UNEMP","TOT","PC_LF","Q","1970-Q4",1.6,
"AUS","UNEMP","TOT","PC_LF","Q","1971-Q1",1.7,
"AUS","UNEMP","TOT","PC_LF","Q","1971-Q2",1.9,
"AUS","UNEMP","TOT","PC_LF","Q","1971-Q3",1.9,
"AUS","UNEMP","TOT","PC_LF","Q","1971-Q4",2.2,
"AUS","UNEMP","TOT","PC_LF","Q","1972-Q1",2.4,
"AUS","UNEMP","TOT","PC_LF","Q","1972-Q2",2.4,
"AUS","UNEMP","TOT","PC_LF","Q","1972-Q3",2.9,
"AUS","UNEMP","TOT","PC_LF","Q","1972-Q4",2.8,
"AUS","UNEMP","TOT","PC_LF","Q","1973-Q1",2.6,
"AUS","UNEMP","TOT","PC_LF","Q","1973-Q2",2.3,
"AUS","UNEMP","TOT","PC_LF","Q","1973-Q3",2.1,
"AUS","UNEMP","TOT","PC_LF","Q","1973-Q4",2.1,
"AUS","UNEMP","TOT","PC_LF","Q","1974-Q1",2.1,
"AUS","UNEMP","TOT","PC_LF","Q","1974-Q2",2.1,
"AUS","UNEMP","TOT","PC_LF","Q","1974-Q3",2.7,
"AUS","UNEMP","TOT","PC_LF","Q","1974-Q4",4,
"AUS","UNEMP","TOT","PC_LF","Q","1975-Q1",4.8,
"AUS","UNEMP","TOT","PC_LF","Q","1975-Q2",4.8,
"AUS","UNEMP","TOT","PC_LF","Q","1975-Q3",4.7,
"AUS","UNEMP","TOT","PC_LF","Q","1975-Q4",5.4,
"AUS","UNEMP","TOT","PC_LF","Q","1976-Q1",4.9,
"AUS","UNEMP","TOT","PC_LF","Q","1976-Q2",4.5,
"AUS","UNEMP","TOT","PC_LF","Q","1976-Q3",4.8,
"AUS","UNEMP","TOT","PC_LF","Q","1976-Q4",4.9,
"AUS","UNEMP","TOT","PC_LF","Q","1977-Q1",5.2,
"AUS","UNEMP","TOT","PC_LF","Q","1977-Q2",5.6,
"AUS","UNEMP","TOT","PC_LF","Q","1977-Q3",5.8,
"AUS","UNEMP","TOT","PC_LF","Q","1977-Q4",5.9,"B"
"AUS","UNEMP","TOT","PC_LF","Q","1978-Q1",6.6,
"AUS","UNEMP","TOT","PC_LF","Q","1978-Q2",6.261002,
"AUS","UNEMP","TOT","PC_LF","Q","1978-Q3",6.322111,
"AUS","UNEMP","TOT","PC_LF","Q","1978-Q4",6.301282,
"AUS","UNEMP","TOT","PC_LF","Q","1979-Q1",6.311018,
"AUS","UNEMP","TOT","PC_LF","Q","1979-Q2",6.318651,
"AUS","UNEMP","TOT","PC_LF","Q","1979-Q3",6.209434,
"AUS","UNEMP","TOT","PC_LF","Q","1979-Q4",6.184268,
"AUS","UNEMP","TOT","PC_LF","Q","1980-Q1",6.027957,
"AUS","UNEMP","TOT","PC_LF","Q","1980-Q2",6.228838,
"AUS","UNEMP","TOT","PC_LF","Q","1980-Q3",6.132837,
"AUS","UNEMP","TOT","PC_LF","Q","1980-Q4",5.986695,
"AUS","UNEMP","TOT","PC_LF","Q","1981-Q1",5.760513,
"AUS","UNEMP","TOT","PC_LF","Q","1981-Q2",5.506662,
"AUS","UNEMP","TOT","PC_LF","Q","1981-Q3",5.829663,
"AUS","UNEMP","TOT","PC_LF","Q","1981-Q4",5.966007,
"AUS","UNEMP","TOT","PC_LF","Q","1982-Q1",6.205548,
"AUS","UNEMP","TOT","PC_LF","Q","1982-Q2",6.565273,
"AUS","UNEMP","TOT","PC_LF","Q","1982-Q3",7.109357,
"AUS","UNEMP","TOT","PC_LF","Q","1982-Q4",8.793272,
"AUS","UNEMP","TOT","PC_LF","Q","1983-Q1",9.637801,
"AUS","UNEMP","TOT","PC_LF","Q","1983-Q2",10.22699,
"AUS","UNEMP","TOT","PC_LF","Q","1983-Q3",10.35579,
"AUS","UNEMP","TOT","PC_LF","Q","1983-Q4",9.70752,
"AUS","UNEMP","TOT","PC_LF","Q","1984-Q1",9.365237,
"AUS","UNEMP","TOT","PC_LF","Q","1984-Q2",9.135102,
"AUS","UNEMP","TOT","PC_LF","Q","1984-Q3",8.8246,
"AUS","UNEMP","TOT","PC_LF","Q","1984-Q4",8.632218,
"AUS","UNEMP","TOT","PC_LF","Q","1985-Q1",8.535896,
"AUS","UNEMP","TOT","PC_LF","Q","1985-Q2",8.450569,
"AUS","UNEMP","TOT","PC_LF","Q","1985-Q3",8.17118,
"AUS","UNEMP","TOT","PC_LF","Q","1985-Q4",7.86185,
"AUS","UNEMP","TOT","PC_LF","Q","1986-Q1",7.912858,
"AUS","UNEMP","TOT","PC_LF","Q","1986-Q2",7.801101,
"AUS","UNEMP","TOT","PC_LF","Q","1986-Q3",8.231146,
"AUS","UNEMP","TOT","PC_LF","Q","1986-Q4",8.331143,
"AUS","UNEMP","TOT","PC_LF","Q","1987-Q1",8.278778,
"AUS","UNEMP","TOT","PC_LF","Q","1987-Q2",8.17098,
"AUS","UNEMP","TOT","PC_LF","Q","1987-Q3",7.981106,
"AUS","UNEMP","TOT","PC_LF","Q","1987-Q4",7.915376,
"AUS","UNEMP","TOT","PC_LF","Q","1988-Q1",7.51877,
"AUS","UNEMP","TOT","PC_LF","Q","1988-Q2",7.644885,
"AUS","UNEMP","TOT","PC_LF","Q","1988-Q3",6.921962,
"AUS","UNEMP","TOT","PC_LF","Q","1988-Q4",6.7546,
"AUS","UNEMP","TOT","PC_LF","Q","1989-Q1",6.595483,
"AUS","UNEMP","TOT","PC_LF","Q","1989-Q2",6.16462,
"AUS","UNEMP","TOT","PC_LF","Q","1989-Q3",6.008063,
"AUS","UNEMP","TOT","PC_LF","Q","1989-Q4",5.853147,
"AUS","UNEMP","TOT","PC_LF","Q","1990-Q1",6.230074,
"AUS","UNEMP","TOT","PC_LF","Q","1990-Q2",6.464733,
"AUS","UNEMP","TOT","PC_LF","Q","1990-Q3",7.225496,
"AUS","UNEMP","TOT","PC_LF","Q","1990-Q4",7.867661,
"AUS","UNEMP","TOT","PC_LF","Q","1991-Q1",8.732166,
"AUS","UNEMP","TOT","PC_LF","Q","1991-Q2",9.633968,
"AUS","UNEMP","TOT","PC_LF","Q","1991-Q3",9.837549,
"AUS","UNEMP","TOT","PC_LF","Q","1991-Q4",10.21985,
"AUS","UNEMP","TOT","PC_LF","Q","1992-Q1",10.4163,
"AUS","UNEMP","TOT","PC_LF","Q","1992-Q2",10.63437,
"AUS","UNEMP","TOT","PC_LF","Q","1992-Q3",10.82286,
"AUS","UNEMP","TOT","PC_LF","Q","1992-Q4",11.14856,
"AUS","UNEMP","TOT","PC_LF","Q","1993-Q1",10.90236,
"AUS","UNEMP","TOT","PC_LF","Q","1993-Q2",10.84927,
"AUS","UNEMP","TOT","PC_LF","Q","1993-Q3",10.88787,
"AUS","UNEMP","TOT","PC_LF","Q","1993-Q4",10.88778,
"AUS","UNEMP","TOT","PC_LF","Q","1994-Q1",10.44078,
"AUS","UNEMP","TOT","PC_LF","Q","1994-Q2",9.88349,
"AUS","UNEMP","TOT","PC_LF","Q","1994-Q3",9.475636,
"AUS","UNEMP","TOT","PC_LF","Q","1994-Q4",9.057037,
"AUS","UNEMP","TOT","PC_LF","Q","1995-Q1",8.76616,
"AUS","UNEMP","TOT","PC_LF","Q","1995-Q2",8.365288,
"AUS","UNEMP","TOT","PC_LF","Q","1995-Q3",8.369097,
"AUS","UNEMP","TOT","PC_LF","Q","1995-Q4",8.390409,
"AUS","UNEMP","TOT","PC_LF","Q","1996-Q1",8.401035,
"AUS","UNEMP","TOT","PC_LF","Q","1996-Q2",8.416111,
"AUS","UNEMP","TOT","PC_LF","Q","1996-Q3",8.620709,
"AUS","UNEMP","TOT","PC_LF","Q","1996-Q4",8.620214,
"AUS","UNEMP","TOT","PC_LF","Q","1997-Q1",8.620308,
"AUS","UNEMP","TOT","PC_LF","Q","1997-Q2",8.482506,
"AUS","UNEMP","TOT","PC_LF","Q","1997-Q3",8.373858,
"AUS","UNEMP","TOT","PC_LF","Q","1997-Q4",7.976696,
"AUS","UNEMP","TOT","PC_LF","Q","1998-Q1",7.84032,
"AUS","UNEMP","TOT","PC_LF","Q","1998-Q2",7.733786,
"AUS","UNEMP","TOT","PC_LF","Q","1998-Q3",7.787788,
"AUS","UNEMP","TOT","PC_LF","Q","1998-Q4",7.374857,
"AUS","UNEMP","TOT","PC_LF","Q","1999-Q1",7.082345,
"AUS","UNEMP","TOT","PC_LF","Q","1999-Q2",6.886154,
"AUS","UNEMP","TOT","PC_LF","Q","1999-Q3",6.874187,
"AUS","UNEMP","TOT","PC_LF","Q","1999-Q4",6.633432,
"AUS","UNEMP","TOT","PC_LF","Q","2000-Q1",6.650921,
"AUS","UNEMP","TOT","PC_LF","Q","2000-Q2",6.302214,
"AUS","UNEMP","TOT","PC_LF","Q","2000-Q3",5.989535,
"AUS","UNEMP","TOT","PC_LF","Q","2000-Q4",6.171558,
"AUS","UNEMP","TOT","PC_LF","Q","2001-Q1",6.367167,
"AUS","UNEMP","TOT","PC_LF","Q","2001-Q2",6.869777,
"AUS","UNEMP","TOT","PC_LF","Q","2001-Q3",6.867413,
"AUS","UNEMP","TOT","PC_LF","Q","2001-Q4",6.979589,
"AUS","UNEMP","TOT","PC_LF","Q","2002-Q1",6.626778,
"AUS","UNEMP","TOT","PC_LF","Q","2002-Q2",6.40512,
