"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","TOT","PC_LF","Q","1966-Q3",1.8,
"AUS","UNEMP","TOT","PC_LF","Q","1966-Q4",1.7,
"AUS","UNEMP","TOT","PC_LF","Q","1967-Q1",1.8,
"AUS","UNEMP","TOT","PC_LF","Q","1967-Q2",2,
"AUS","UNEMP","TOT","PC_LF","Q","1967-Q3",1.9,
"AUS","UNEMP","TOT","PC_LF","Q","1967-Q4",1.8,
"AUS","UNEMP","TOT","PC_LF","Q","1968-Q1",1.9,
"AUS","UNEMP","TOT","PC_LF","Q","1968-Q2",1.9,
"AUS","UNEMP","TOT","PC_LF","Q","1968-Q3",1.8,
"AUS","UNEMP","TOT","PC_LF","Q","1968-Q4",1.7,
"AUS","UNEMP","TOT","PC_LF","Q","1969-Q1",1.8,
"AUS","UNEMP","TOT","PC_LF","Q","1969-Q2",1.8,
"AUS","UNEMP","TOT","PC_LF","Q","1969-Q3",1.7,
"AUS","UNEMP","TOT","PC_LF","Q","1969-Q4",1.9,
"AUS","UNEMP","TOT","PC_LF","Q","1970-Q1",1.6,
"AUS","UNEMP","TOT","PC_LF","Q","1970-Q2",1.7,
"AUS","UNEMP","TOT","PC_LF","Q","1970-Q3",1.7,
"AUS","UNEMP","TOT","PC_LF","Q","1970-Q4",1.6,
"AUS","UNEMP","TOT","PC_LF","Q","1971-Q1",1.7,
"AUS","UNEMP","TOT","PC_LF","Q","1971-Q2",1.9,
"AUS","UNEMP","TOT","PC_LF","Q","1971-Q3",1.9,
"AUS","UNEMP","TOT","PC_LF","Q","1971-Q4",2.2,
"AUS","UNEMP","TOT","PC_LF","Q","1972-Q1",2.4,
"AUS","UNEMP","TOT","PC_LF","Q","1972-Q2",2.4,
"AUS","UNEMP","TOT","PC_LF","Q","1972-Q3",2.9,
"AUS","UNEMP","TOT","PC_LF","Q","1972-Q4",2.8,
"AUS","UNEMP","TOT","PC_LF","Q","1973-Q1",2.6,
"AUS","UNEMP","TOT","PC_LF","Q","1973-Q2",2.3,
"AUS","UNEMP","TOT","PC_LF","Q","1973-Q3",2.1,
"AUS","UNEMP","TOT","PC_LF","Q","1973-Q4",2.1,
"AUS","UNEMP","TOT","PC_LF","Q","1974-Q1",2.1,
"AUS","UNEMP","TOT","PC_LF","Q","1974-Q2",2.1,
"AUS","UNEMP","TOT","PC_LF","Q","1974-Q3",2.7,
"AUS","UNEMP","TOT","PC_LF","Q","1974-Q4",4,
"AUS","UNEMP","TOT","PC_LF","Q","1975-Q1",4.8,
"AUS","UNEMP","TOT","PC_LF","Q","1975-Q2",4.8,
"AUS","UNEMP","TOT","PC_LF","Q","1975-Q3",4.7,
"AUS","UNEMP","TOT","PC_LF","Q","1975-Q4",5.4,
"AUS","UNEMP","TOT","PC_LF","Q","1976-Q1",4.9,
"AUS","UNEMP","TOT","PC_LF","Q","1976-Q2",4.5,
"AUS","UNEMP","TOT","PC_LF","Q","1976-Q3",4.8,
"AUS","UNEMP","TOT","PC_LF","Q","1976-Q4",4.9,
"AUS","UNEMP","TOT","PC_LF","Q","1977-Q1",5.2,
"AUS","UNEMP","TOT","PC_LF","Q","1977-Q2",5.6,
"AUS","UNEMP","TOT","PC_LF","Q","1977-Q3",5.8,
"AUS","UNEMP","TOT","PC_LF","Q","1977-Q4",5.9,"B"
"AUS","UNEMP","TOT","PC_LF","Q","1978-Q1",6.6,
"AUS","UNEMP","TOT","PC_LF","Q","1978-Q2",6.260885,
"AUS","UNEMP","TOT","PC_LF","Q","1978-Q3",6.32223,
"AUS","UNEMP","TOT","PC_LF","Q","1978-Q4",6.301165,
"AUS","UNEMP","TOT","PC_LF","Q","1979-Q1",6.311006,
"AUS","UNEMP","TOT","PC_LF","Q","1979-Q2",6.318528,
"AUS","UNEMP","TOT","PC_LF","Q","1979-Q3",6.209218,
"AUS","UNEMP","TOT","PC_LF","Q","1979-Q4",6.184133,
"AUS","UNEMP","TOT","PC_LF","Q","1980-Q1",6.027902,
"AUS","UNEMP","TOT","PC_LF","Q","1980-Q2",6.228729,
"AUS","UNEMP","TOT","PC_LF","Q","1980-Q3",6.132631,
"AUS","UNEMP","TOT","PC_LF","Q","1980-Q4",5.986562,
"AUS","UNEMP","TOT","PC_LF","Q","1981-Q1",5.760374,
"AUS","UNEMP","TOT","PC_LF","Q","1981-Q2",5.506541,
"AUS","UNEMP","TOT","PC_LF","Q","1981-Q3",5.829469,
"AUS","UNEMP","TOT","PC_LF","Q","1981-Q4",5.965882,
"AUS","UNEMP","TOT","PC_LF","Q","1982-Q1",6.205361,
"AUS","UNEMP","TOT","PC_LF","Q","1982-Q2",6.565147,
"AUS","UNEMP","TOT","PC_LF","Q","1982-Q3",7.109155,
"AUS","UNEMP","TOT","PC_LF","Q","1982-Q4",8.793117,
"AUS","UNEMP","TOT","PC_LF","Q","1983-Q1",9.637494,
"AUS","UNEMP","TOT","PC_LF","Q","1983-Q2",10.22681,
"AUS","UNEMP","TOT","PC_LF","Q","1983-Q3",10.3556,
"AUS","UNEMP","TOT","PC_LF","Q","1983-Q4",9.707358,
"AUS","UNEMP","TOT","PC_LF","Q","1984-Q1",9.364867,
"AUS","UNEMP","TOT","PC_LF","Q","1984-Q2",9.134919,
"AUS","UNEMP","TOT","PC_LF","Q","1984-Q3",8.82445,
"AUS","UNEMP","TOT","PC_LF","Q","1984-Q4",8.632067,
"AUS","UNEMP","TOT","PC_LF","Q","1985-Q1",8.53584,
"AUS","UNEMP","TOT","PC_LF","Q","1985-Q2",8.450427,
"AUS","UNEMP","TOT","PC_LF","Q","1985-Q3",8.171041,
"AUS","UNEMP","TOT","PC_LF","Q","1985-Q4",7.861707,
"AUS","UNEMP","TOT","PC_LF","Q","1986-Q1",7.912723,
"AUS","UNEMP","TOT","PC_LF","Q","1986-Q2",7.800931,
"AUS","UNEMP","TOT","PC_LF","Q","1986-Q3",8.230966,
"AUS","UNEMP","TOT","PC_LF","Q","1986-Q4",8.331002,
"AUS","UNEMP","TOT","PC_LF","Q","1987-Q1",8.278567,
"AUS","UNEMP","TOT","PC_LF","Q","1987-Q2",8.170796,
"AUS","UNEMP","TOT","PC_LF","Q","1987-Q3",7.980944,
"AUS","UNEMP","TOT","PC_LF","Q","1987-Q4",7.915244,
"AUS","UNEMP","TOT","PC_LF","Q","1988-Q1",7.518501,
"AUS","UNEMP","TOT","PC_LF","Q","1988-Q2",7.644741,
"AUS","UNEMP","TOT","PC_LF","Q","1988-Q3",6.92183,
"AUS","UNEMP","TOT","PC_LF","Q","1988-Q4",6.75449,
"AUS","UNEMP","TOT","PC_LF","Q","1989-Q1",6.595463,
"AUS","UNEMP","TOT","PC_LF","Q","1989-Q2",6.164472,
"AUS","UNEMP","TOT","PC_LF","Q","1989-Q3",6.007952,
"AUS","UNEMP","TOT","PC_LF","Q","1989-Q4",5.853052,
"AUS","UNEMP","TOT","PC_LF","Q","1990-Q1",6.230007,
"AUS","UNEMP","TOT","PC_LF","Q","1990-Q2",6.464591,
"AUS","UNEMP","TOT","PC_LF","Q","1990-Q3",7.225404,
"AUS","UNEMP","TOT","PC_LF","Q","1990-Q4",7.867553,
"AUS","UNEMP","TOT","PC_LF","Q","1991-Q1",8.732389,
"AUS","UNEMP","TOT","PC_LF","Q","1991-Q2",9.633825,
"AUS","UNEMP","TOT","PC_LF","Q","1991-Q3",9.837403,
"AUS","UNEMP","TOT","PC_LF","Q","1991-Q4",10.21973,
"AUS","UNEMP","TOT","PC_LF","Q","1992-Q1",10.41647,
"AUS","UNEMP","TOT","PC_LF","Q","1992-Q2",10.63419,
"AUS","UNEMP","TOT","PC_LF","Q","1992-Q3",10.82275,
"AUS","UNEMP","TOT","PC_LF","Q","1992-Q4",11.14845,
"AUS","UNEMP","TOT","PC_LF","Q","1993-Q1",10.90237,
"AUS","UNEMP","TOT","PC_LF","Q","1993-Q2",10.84913,
"AUS","UNEMP","TOT","PC_LF","Q","1993-Q3",10.88777,
"AUS","UNEMP","TOT","PC_LF","Q","1993-Q4",10.88768,
"AUS","UNEMP","TOT","PC_LF","Q","1994-Q1",10.4407,
"AUS","UNEMP","TOT","PC_LF","Q","1994-Q2",9.883339,
"AUS","UNEMP","TOT","PC_LF","Q","1994-Q3",9.475578,
"AUS","UNEMP","TOT","PC_LF","Q","1994-Q4",9.056957,
"AUS","UNEMP","TOT","PC_LF","Q","1995-Q1",8.766017,
"AUS","UNEMP","TOT","PC_LF","Q","1995-Q2",8.36517,
"AUS","UNEMP","TOT","PC_LF","Q","1995-Q3",8.36904,
"AUS","UNEMP","TOT","PC_LF","Q","1995-Q4",8.390335,
"AUS","UNEMP","TOT","PC_LF","Q","1996-Q1",8.400836,
"AUS","UNEMP","TOT","PC_LF","Q","1996-Q2",8.416023,
"AUS","UNEMP","TOT","PC_LF","Q","1996-Q3",8.620616,
"AUS","UNEMP","TOT","PC_LF","Q","1996-Q4",8.620145,
"AUS","UNEMP","TOT","PC_LF","Q","1997-Q1",8.620354,
"AUS","UNEMP","TOT","PC_LF","Q","1997-Q2",8.482403,
"AUS","UNEMP","TOT","PC_LF","Q","1997-Q3",8.373791,
"AUS","UNEMP","TOT","PC_LF","Q","1997-Q4",7.97664,
"AUS","UNEMP","TOT","PC_LF","Q","1998-Q1",7.840299,
"AUS","UNEMP","TOT","PC_LF","Q","1998-Q2",7.733697,
"AUS","UNEMP","TOT","PC_LF","Q","1998-Q3",7.787723,
"AUS","UNEMP","TOT","PC_LF","Q","1998-Q4",7.374752,
"AUS","UNEMP","TOT","PC_LF","Q","1999-Q1",7.082266,
"AUS","UNEMP","TOT","PC_LF","Q","1999-Q2",6.886077,
"AUS","UNEMP","TOT","PC_LF","Q","1999-Q3",6.874125,
"AUS","UNEMP","TOT","PC_LF","Q","1999-Q4",6.6334,
"AUS","UNEMP","TOT","PC_LF","Q","2000-Q1",6.650792,
"AUS","UNEMP","TOT","PC_LF","Q","2000-Q2",6.302142,
"AUS","UNEMP","TOT","PC_LF","Q","2000-Q3",5.989482,
"AUS","UNEMP","TOT","PC_LF","Q","2000-Q4",6.171534,
"AUS","UNEMP","TOT","PC_LF","Q","2001-Q1",6.366966,
"AUS","UNEMP","TOT","PC_LF","Q","2001-Q2",6.869703,
"AUS","UNEMP","TOT","PC_LF","Q","2001-Q3",6.867344,
"AUS","UNEMP","TOT","PC_LF","Q","2001-Q4",6.97949,
"AUS","UNEMP","TOT","PC_LF","Q","2002-Q1",6.626802,
"AUS","UNEMP","TOT","PC_LF","Q","2002-Q2",6.405053,
